Année,Var. Temp.,PIB (Md),Population (m),Total CO2 (mT)
1942,0.07,9334.8,2327.0,10509.654
1943,0.09,9432.2,2345.0,10580.636
1944,0.21,9529.6,2362.0,10657.57
1945,0.09,9627.0,2380.0,9762.553
1946,-0.07,9724.4,2398.0,10135.869
1947,-0.03,9821.8,2417.0,10589.338
1948,-0.1,9919.2,2437.0,10793.544
1949,-0.11,10016.6,2463.0,10497.641
1950,-0.17,10114.0,2499.0,11996.413
1951,-0.07,10696.9,2543.0,12544.241
1952,0.01,11279.8,2590.0,12772.289
1953,0.08,11862.7,2640.0,13068.064
1954,-0.13,12445.6,2692.0,13361.748
1955,-0.14,13028.5,2746.0,14237.283
1956,-0.19,13611.4,2801.0,14918.578
1957,0.05,14194.3,2858.0,15358.505
1958,0.06,14777.2,2916.0,15799.009
1959,0.03,15360.099999999999,2970.0,16627.936
1960,-0.03,15943.0,3019.0,16217.596
1961,0.06,16971.5,3068.0,15963.722
1962,0.03,18000.0,3127.0,15820.577
1963,0.05,19028.5,3196.0,16143.311
1964,-0.2,20057.0,3267.0,16558.707
1965,-0.11,21085.5,3337.0,16515.244
1966,-0.06,22114.0,3406.0,16896.252
1967,-0.02,23142.5,3475.0,17406.977
1968,-0.08,24171.0,3547.0,18136.688
1969,0.05,25199.5,3621.0,18672.369
1970,0.03,26228.0,3695.0,20012.344
1971,-0.08,27428.3,3770.0,20322.107
1972,0.01,28628.6,3845.0,21045.666
1973,0.16,29828.9,3920.0,21778.793
1974,-0.07,31029.2,3996.0,21573.541
1975,-0.01,32229.5,4069.0,21662.783
1976,-0.1,33429.8,4143.0,22576.064
1977,0.18,34630.1,4216.0,23085.875
1978,0.07,35830.4,4290.0,23520.393
1979,0.16,37030.7,4366.0,23832.625
1980,0.26,38231.0,4444.0,23888.951
1981,0.32,39552.0,4525.0,23671.865
1982,0.14,40873.0,4608.0,23542.031
1983,0.31,42194.0,4692.0,24145.582
1984,0.16,43515.0,4776.0,25608.676
1985,0.12,44836.0,4862.0,25809.438
1986,0.18,46157.0,4950.0,26300.332
1987,0.32,47478.0,5041.0,26760.348
1988,0.39,48799.0,5132.0,27376.078
1989,0.27,50120.0,5224.0,27619.82
1990,0.45,51441.0,5316.0,27919.6
1991,0.41,52114.0,5406.0,28176.01
1992,0.22,52945.0,5493.0,27790.303
1993,0.23,53832.0,5577.0,27927.412
1994,0.31,55357.0,5661.0,28811.207
1995,0.45,57087.0,5743.0,29163.975
1996,0.33,59237.0,5825.0,30247.469
1997,0.47,61557.0,5906.0,31876.947
1998,0.61,63106.0,5987.0,30496.076
1999,0.38,65330.0,6068.0,30837.498
2000,0.39,68437.0,6149.0,30876.949
2001,0.53,70024.0,6231.0,30711.1
2002,0.63,71903.0,6312.0,31633.465
2003,0.62,74554.0,6394.0,33482.188
2004,0.53,78333.0,6476.0,34014.004
2005,0.68,81878.0,6558.0,34484.008
2006,0.64,86054.0,6641.0,35840.477
2007,0.66,90450.0,6726.0,36055.773
2008,0.54,92899.0,6812.0,36782.691
2009,0.66,92208.0,6898.0,36729.414
2010,0.73,96879.0,6986.0,38483.84
2011,0.61,100612.0,7073.0,39654.469
2012,0.65,103806.0,7162.0,40280.641
2013,0.68,107140.0,7251.0,40091.25
2014,0.75,110775.0,7339.0,40680.48
2015,0.9,114471.0,7427.0,41093.473
2016,1.02,118180.0,7513.0,40059.02
2017,0.93,122635.0,7600.0,40590.441
2018,0.85,127074.0,7684.0,41052.09
2019,0.98,130661.0,7765.0,41637.617
2020,1.02,126791.0,7841.0,39302.922
2021,0.85,134821.0,7909.0,41138.121
2022,0.9,139357.0,7975.0,41459.738
2023,1.17,145440.0,8100.0,40900.0
